source,pt_PT
 Salary slips starting on or after this date will be considered for arrear calculations,Os recibos de vencimento a partir desta data serão considerados para cálculos de atraso
 Save ,Salvar
 Unlink Payment on Cancellation of Employee Advance,Desvincular Pagamento no Cancelamento de Adiantamento de Funcionário
"""From Date"" can not be greater than or equal to ""To Date""","""Data Inicial"" não pode ser maior ou igual a ""Data Até"""
$dayjs,$dayjs
$employee,$funcionário
$translate,$traduzir
% Utilization (B + NB) / T,% Utilização (B + NB) / T
% Utilization (B / T),% de utilização (B/T)
'employee_field_value' and 'timestamp' are required.,'employee_field_value' e 'timestamp' são obrigatórios.
) for {0},) para {0}
...Fetching Employees,...Buscando funcionários
<b>Base</b> amount has not been set for the following employee(s): {0},O valor <b>base</b> não foi definido para os seguintes funcionários: {0}
<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,<b>Exemplo:</b> SAL-{first_name}-{date_of_birth.year} <br>Isso gerará uma senha como SAL-Jane-1972
<b>Total Leaves Allocated</b> are more than the number of days in the allocation period,<b>O total de licenças alocadas</b> é maior que o número de dias no período de alocação
