) for {0},) para {0},
A {0} exists between {1} and {2} (,Um {0} existe entre {1} e {2} (,
Absent,Ausente,
Accrual Journal Entry for salaries from {0} to {1},Entrada de diário de acréscimo para salários de {0} a {1},
Add to Details,Adicionar aos detalhes,
Added to details,Adicionado aos detalhes,
All Jobs,Todos os Empregos,
Allocated Leaves,Férias atribuídas,
Annual Salary,Salário anual,
Application period cannot be across two allocation records,O período de aplicação não pode ser realizado em dois registros de alocação,
Application period cannot be outside leave allocation period,O período do pedido não pode estar fora do período de atribuição de licença,
Apply Now,Candidatar-me Já,
Apprentice,Aprendiz,
Approval Status,Estado de Aprovação,
Approval Status must be 'Approved' or 'Rejected',"O Estado de Aprovação deve ser ""Aprovado"" ou ""Rejeitado""",
As per your assigned Salary Structure you cannot apply for benefits,"De acordo com a estrutura salarial atribuída, você não pode solicitar benefícios",
Assign,Atribuir,
Assign Salary Structure,Atribuir estrutura salarial,
Assign to Employees,Atribuir aos funcionários,
Assigning Structures...,Atribuindo Estruturas ...,
Attendance,Assiduidade,
Attendance From Date and Attendance To Date is mandatory,É obrigatória a Presença Da Data À Data,
Attendance for employee {0} is already marked for this day,A Assiduidade do funcionário {0} já foi marcada para este dia,
Attendance not submitted for {0} as it is a Holiday.,"Participação não enviada para {0}, pois é um feriado.",
Bank Entries,Registos Bancários,
Base,Base,
Beginner,Principiante,
Birthday Reminder 🎂,Lembrete de aniversário 🎂,
Bonus Payment Date cannot be a past date,Data de pagamento do bônus não pode ser uma data passada,
Calls,Chamadas,
Cannot find active Leave Period,Não é possível encontrar período de saída ativo,
Casual Leave,Licença Ocasional,
Claimed Amount,Montante reclamado,
Compensatory Off,Descanso de Compensação,
Contact Number,Número de Contacto,
Course,Curso,
Create Disbursement Entry,Criar entrada de desembolso,
Create Salary Slip,Criar Folha de Vencimento,
Create Salary Slips,Criar recibos salariais,
Creating Payment Entries......,Criando Entradas de Pagamento ......,
Creating Salary Slips...,Criando Slips Salariais ...,
Current,Atual,
Current Job Openings,Vagas de Emprego Atuais,
Daily Work Summary,Resumo do trabalho diário,
Daily Work Summary Group,Grupo de resumo do trabalho diário,
Date is repeated,A data está repetida,
Debit A/C Number,Débito A / C Number,
Deduction,Dedução,
Document Status,Status do Documento,
Earning,Remuneração,
Employee A/C Number,Número de funcionário A / C,
Employee Benefits,Benefícios do Funcionário,
Employee Grade,Employee Grade,
Employee Referral,Referência de funcionário,
Employee relieved on {0} must be set as 'Left',"O Funcionário dispensado em {0} deve ser definido como ""Saiu""",
Employee {0} already submited an apllication {1} for the payroll period {2},O funcionário {0} já enviou uma aplicação {1} para o período da folha de pagamento {2},
Employee {0} has no maximum benefit amount,Empregado {0} não tem valor de benefício máximo,
Employee {0} is not active or does not exist,O(A) Funcionário(a) {0} não está ativo(a) ou não existe,
Employee {0} is on Leave on {1},Empregado {0} está em Sair em {1},
Employee {0} on Half day on {1},Employee {0} no Meio dia em {1},
End time cannot be before start time,O horário de término não pode ser antes do horário de início,
Evaluation,Avaliação,
Event Location,Local do evento,
Event Name,Nome do evento,
Expense Claim for Vehicle Log {0},Reivindicação de Despesa para o Registo de Veículo {0},
Expense Claim {0} already exists for the Vehicle Log,O Relatório de Despesas {0} já existe no Registo de Veículo,
Fill the form and save it,Preencha o formulário e guarde-o,
Filter Employees By (Optional),Filtre os funcionários por (opcional),
Fiscal Year {0} not found,O Ano Fiscal de {0} não foi encontrado,
Food,Comida,
For Employee,Para o Funcionário,
From Date {0} cannot be after employee's relieving Date {1},A partir da data {0} não pode ser após a data de alívio do empregado {1},
From Date {0} cannot be before employee's joining Date {1},A partir da data {0} não pode ser anterior à data de adesão do funcionário {1},
From date can not be less than employee's joining date,A partir da data não pode ser menor do que a data de ingresso do funcionário,
Fuel Price,Preço de Combustível,
Fuel Qty,Qtd de Comb.,
Full-time,Tempo Integral,
Future dates not allowed,Datas futuras não permitidas,
Get Details From Declaration,Obter detalhes da declaração,
Get Employees,Obter funcionários,
Gross Pay,Salário bruto,
Guest,Convidado,
Half Day,Meio Dia,
Half Day Date is mandatory,Meio Dia A data é obrigatória,
Half Day Date should be between From Date and To Date,Metade Data Day deve estar entre De Data e To Date,
Half Day Date should be in between Work From Date and Work End Date,A data de meio dia deve estar entre o trabalho da data e a data de término do trabalho,
Half day date should be in between from date and to date,A data de meio dia deve estar entre a data e a data,
Hello,Olá,
House rent paid days overlapping with {0},Aluguel da casa paga dias sobrepostos com {0},
House rented dates required for exemption calculation,Datas alugadas da casa necessárias para o cálculo da isenção,
House rented dates should be atleast 15 days apart,Datas alugadas da casa devem ser pelo menos 15 dias de intervalo,
Interest Amount,Montante de juros,
Intern,Estagiário,
Job Description,Descrição do Emprego,
Job Offer,Oferta de emprego,
Jobs,Empregos,
Leave Approval Notification,Deixar a notificação de aprovação,
Leave Blocked,Licença Bloqueada,
Leave Encashment,deixar Cobrança,
Leave Status Notification,Deixar a notificação de status,
Leave Type,Tipo de Licença,
Leave Type is madatory,Deixe o tipo é uma coisa louca,
Leave Type {0} cannot be allocated since it is leave without pay,"O Tipo de Licença {0} não pode ser atribuído, uma vez que é uma licença sem vencimento",
Leave Type {0} cannot be carry-forwarded,O Tipo de  Licença {0} não pode ser do tipo avançar,
Leave Type {0} is not encashable,Deixe o tipo {0} não é inviolável,
Leave Without Pay,Licença Sem Vencimento,
"Leave cannot be allocated before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","A licença não pode ser atribuída antes de {0}, pois o saldo de licenças já foi carregado no registo de atribuição de licenças {1}",
"Leave cannot be applied/cancelled before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","A licença não pode ser aplicada/cancelada antes de {0}, pois o saldo da licença já foi encaminhado no registo de atribuição de licenças futuras {1}",
Leave of type {0} cannot be longer than {1},A licença do tipo {0} não pode ser mais longa do que {1},
Leaves,Ausências,
Leaves Allocated Successfully for {0},Licenças Atribuídas Com Sucesso para {0},
Leaves per Year,Licenças por Ano,
Lifecycle,Ciclo da vida,
Mark Attendance,Mark Attendance,
